Month,Bob Ross: (Worldwide),Claude Monet: (Worldwide),Vincent van Gogh: (Worldwide)
2005-10,23,28,47
2005-11,23,30,45
2005-12,22,24,33
2006-01,22,27,37
2006-02,22,27,40
2006-03,17,33,49
2006-04,25,31,43
2006-05,18,37,42
2006-06,17,19,30
2006-07,16,11,15
2006-08,19,13,18
2006-09,19,20,33
2006-10,19,24,31
2006-11,21,25,34
2006-12,22,18,28
2007-01,23,21,31
2007-02,22,20,29
2007-03,18,23,33
2007-04,17,23,26
2007-05,16,26,33
2007-06,18,18,23
2007-07,15,9,11
2007-08,18,10,16
2007-09,17,18,27
2007-10,20,19,30
2007-11,19,21,30
2007-12,19,14,21
2008-01,20,18,24
2008-02,17,19,26
2008-03,15,21,27
2008-04,15,22,26
2008-05,17,22,25
2008-06,14,15,18
2008-07,14,8,11
2008-08,14,9,13
2008-09,13,15,24
2008-10,17,17,25
2008-11,15,18,29
2008-12,16,14,20
2009-01,16,15,23
2009-02,16,16,26
2009-03,14,20,27
2009-04,13,18,25
2009-05,13,22,27
2009-06,13,13,20
2009-07,15,8,11
2009-08,14,9,15
2009-09,15,15,26
2009-10,15,17,25
2009-11,14,18,25
2009-12,15,13,19
2010-01,15,15,22
2010-02,15,16,23
2010-03,14,18,26
2010-04,14,18,23
2010-05,14,20,24
2010-06,12,14,25
2010-07,14,7,14
2010-08,14,8,15
2010-09,14,17,22
2010-10,17,17,23
2010-11,15,17,23
2010-12,17,13,18
2011-01,16,15,22
2011-02,16,15,22
2011-03,14,16,24
2011-04,13,15,21
2011-05,13,18,24
2011-06,14,13,20
2011-07,13,7,15
2011-08,15,11,17
2011-09,13,14,25
2011-10,16,14,29
2011-11,17,15,24
2011-12,19,12,20
2012-01,18,14,22
2012-02,19,14,24
2012-03,17,15,25
2012-04,16,14,21
2012-05,14,16,26
2012-06,14,12,18
2012-07,23,8,14
2012-08,22,8,16
2012-09,16,12,23
2012-10,72,13,22
2012-11,19,14,22
2012-12,17,10,17
2013-01,16,11,21
2013-02,15,12,22
2013-03,15,13,26
2013-04,14,14,24
2013-05,14,16,24
2013-06,15,11,18
2013-07,13,7,14
2013-08,15,8,15
2013-09,15,11,23
2013-10,19,12,21
2013-11,28,13,23
2013-12,20,12,18
2014-01,16,13,22
2014-02,17,14,22
2014-03,17,14,24
2014-04,17,14,22
2014-05,17,14,23
2014-06,13,11,18
2014-07,13,7,14
2014-08,14,8,16
2014-09,14,11,21
2014-10,18,11,20
2014-11,18,13,23
2014-12,16,14,19
2015-01,17,14,24
2015-02,16,12,26
2015-03,17,15,27
2015-04,15,14,25
2015-05,15,15,26
2015-06,15,12,20
2015-07,14,8,16
2015-08,13,8,18
2015-09,18,11,24
2015-10,53,11,23
2015-11,100,14,23
2015-12,31,9,18
2016-01,22,11,19
2016-02,22,11,22
2016-03,21,13,26
2016-04,19,13,23
2016-05,17,13,21
2016-06,56,10,17
2016-07,31,6,14
2016-08,26,7,14
2016-09,26,10,19
2016-10,32,9,19
2016-11,28,11,21
2016-12,52,8,16
2017-01,39,10,19
2017-02,33,13,21
2017-03,28,13,22
2017-04,28,11,19
2017-05,26,12,20
2017-06,22,9,17
2017-07,20,6,13
2017-08,22,7,14
2017-09,27,10,19
2017-10,43,10,28
2017-11,52,11,29
2017-12,51,8,22
2018-01,37,9,27
2018-02,38,10,25
2018-03,40,11,28
2018-04,34,11,24
2018-05,33,13,23
2018-06,32,9,18
2018-07,30,7,16
2018-08,32,7,20
2018-09,45,10,23
2018-10,65,10,23
2018-11,56,11,25
2018-12,65,9,20
2019-01,55,11,24
2019-02,50,10,28
2019-03,45,12,27
2019-04,41,11,25
2019-05,37,13,26
2019-06,36,9,21
2019-07,50,7,17
2019-08,43,7,17
2019-09,43,9,21
2019-10,66,9,23
2019-11,49,10,24
2019-12,46,8,18
2020-01,42,10,22
2020-02,41,10,25
2020-03,44,12,30
2020-04,48,12,29
2020-05,44,12,28
2020-06,40,9,23
2020-07,43,7,19
2020-08,34,7,21
2020-09,35,10,24
